Agents: 1, Dirt: 9, Obstacles: 18, Steps: 54, Total Movements: 54
Agents: 1, Dirt: 9, Obstacles: 19, Steps: 140, Total Movements: 140
Agents: 1, Dirt: 9, Obstacles: 20, Steps: 122, Total Movements: 122
Agents: 1, Dirt: 10, Obstacles: 1, Steps: 109, Total Movements: 109
Agents: 1, Dirt: 10, Obstacles: 2, Steps: 104, Total Movements: 104
Agents: 1, Dirt: 10, Obstacles: 3, Steps: 87, Total Movements: 87
Agents: 1, Dirt: 10, Obstacles: 4, Steps: 92, Total Movements: 92
Agents: 1, Dirt: 10, Obstacles: 5, Steps: 93, Total Movements: 93
Agents: 1, Dirt: 10, Obstacles: 6, Steps: 61, Total Movements: 61
Agents: 1, Dirt: 10, Obstacles: 7, Steps: 147, Total Movements: 147
Agents: 1, Dirt: 10, Obstacles: 8, Steps: 88, Total Movements: 88
Agents: 1, Dirt: 10, Obstacles: 9, Steps: 102, Total Movements: 102
Agents: 1, Dirt: 10, Obstacles: 10, Steps: 119, Total Movements: 119
Agents: 1, Dirt: 10, Obstacles: 11, Steps: 166, Total Movements: 166
Agents: 1, Dirt: 10, Obstacles: 12, Steps: 64, Total Movements: 64
Agents: 1, Dirt: 10, Obstacles: 13, Steps: 86, Total Movements: 86
Agents: 1, Dirt: 10, Obstacles: 14, Steps: 81, Total Movements: 81
Agents: 1, Dirt: 10, Obstacles: 15, Steps: 175, Total Movements: 175
Agents: 1, Dirt: 10, Obstacles: 16, Steps: 74, Total Movements: 74
Agents: 1, Dirt: 10, Obstacles: 17, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 10, Obstacles: 18, Steps: 92, Total Movements: 92
Agents: 1, Dirt: 10, Obstacles: 19, Steps: 183, Total Movements: 183
Agents: 1, Dirt: 10, Obstacles: 20, Steps: 170, Total Movements: 170
Agents: 1, Dirt: 11, Obstacles: 1, Steps: 94, Total Movements: 94
Agents: 1, Dirt: 11, Obstacles: 2, Steps: 108, Total Movements: 108
Agents: 1, Dirt: 11, Obstacles: 3, Steps: 77, Total Movements: 77
Agents: 1, Dirt: 11, Obstacles: 4, Steps: 94, Total Movements: 94
Agents: 1, Dirt: 11, Obstacles: 5, Steps: 89, Total Movements: 89
Agents: 1, Dirt: 11, Obstacles: 6, Steps: 106, Total Movements: 106
Agents: 1, Dirt: 11, Obstacles: 7, Steps: 165, Total Movements: 165
Agents: 1, Dirt: 11, Obstacles: 8, Steps: 111, Total Movements: 111
Agents: 1, Dirt: 11, Obstacles: 9, Steps: 76, Total Movements: 76
Agents: 1, Dirt: 11, Obstacles: 10, Steps: 92, Total Movements: 92
Agents: 1, Dirt: 11, Obstacles: 11, Steps: 105, Total Movements: 105
Agents: 1, Dirt: 11, Obstacles: 12, Steps: 110, Total Movements: 110
Agents: 1, Dirt: 11, Obstacles: 13, Steps: 91, Total Movements: 91
Agents: 1, Dirt: 11, Obstacles: 14, Steps: 113, Total Movements: 113
Agents: 1, Dirt: 11, Obstacles: 15, Steps: 52, Total Movements: 52
Agents: 1, Dirt: 11, Obstacles: 16, Steps: 117, Total Movements: 117
Agents: 1, Dirt: 11, Obstacles: 17, Steps: 224, Total Movements: 224
Agents: 1, Dirt: 11, Obstacles: 18, Steps: 114, Total Movements: 114
Agents: 1, Dirt: 11, Obstacles: 19, Steps: 234, Total Movements: 234
Agents: 1, Dirt: 11, Obstacles: 20, Steps: 101, Total Movements: 101
